STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100101 01:00,0.00,g, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100120 04:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100121 10:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100121 11:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100121 12:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100121 13:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100121 14:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100123 21:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100123 22:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100124 03:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100127 16:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100201 01:00,0.00,g, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100205 02:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100205 07:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100205 09:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100205 10:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100205 13:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100205 15:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100205 22:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100206 05:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100209 01:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100221 08:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100221 10:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100221 11:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100221 17:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100221 18:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100221 19:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100221 21:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100222 04:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100301 01:00,0.00,g, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100311 01:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100311 02:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100311 03:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100312 16:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100313 22:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100321 11:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100321 16:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100321 17:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100322 02:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100325 10:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100325 11:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100325 12:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100325 13:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100325 14:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100325 16:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100328 08:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100328 15:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100401 01:00,0.00,g, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100403 02:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100403 03:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100403 10:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100407 10:00,25399.75,{, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100407 12:00,25399.75,}, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100407 14:00,10.16, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100407 15:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100422 23:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100423 00:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100423 01:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100423 15:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100424 01:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100424 14:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100424 17:00,27.94, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100424 19:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100425 17:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100429 19:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100430 22:00,20.32, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100430 23:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100501 01:00,0.00,g, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100501 08:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100502 00:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100502 02:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100510 23:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100512 05:00,17.78, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100512 06:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100512 07:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100512 13:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100515 07:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100515 08:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100515 11:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100515 14:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100516 07:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100516 19:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100516 20:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100516 22:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100516 23:00,15.24, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100517 00:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100520 03:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100520 04:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100520 05:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100520 06:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100520 07:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100520 08:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100520 09:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100521 03:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100531 17:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100601 01:00,0.00,g, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100602 04:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100602 12:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100603 03:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100608 14:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100608 15:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100609 01:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100612 18:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100612 19:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100613 09:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100615 14:00,5.08, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100615 15:00,35.56, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100615 16:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100615 23:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100616 04:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100617 08:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100617 09:00,7.62, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100617 11:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100619 04:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100627 21:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100627 22:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100701 01:00,0.00,g, 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100709 02:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100709 06:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100709 10:00,2.54, , 
COOP:234273,JEFFERSON BARRACKS MO US,149.4,38.50389,-90.28,20100713 03:00,22.86, , 
